UID        PID  PPID  C STIME TTY          TIME CMD
root      1031     2  0 Mar12 ?        00:00:00 [xfs-buf/dm-6]
root      1032     2  0 Mar12 ?        00:00:00 [xfs-data/dm-6]
root      1033     2  0 Mar12 ?        00:00:00 [xfs-conv/dm-6]
root      1035     2  0 Mar12 ?        00:00:00 [xfs-cil/dm-6]
root      1036     2  0 Mar12 ?        00:00:00 [xfs-reclaim/dm-]
root      1037     2  0 Mar12 ?        00:00:00 [xfs-log/dm-6]
root      1038     2  0 Mar12 ?        00:00:00 [xfs-eofblocks/d]
root      1040     2  0 Mar12 ?        02:04:21 [xfsaild/dm-6]
root      1083     2  0 Mar12 ?        00:00:32 [kworker/3:1H]
root      1084     1  0 Mar12 ?        00:02:02 /sbin/auditd
root      1086  1084  0 Mar12 ?        00:02:37 /sbin/audispd
root      1087  1086  0 Mar12 ?        00:01:08 /usr/sbin/sedispatch
root      1090     2  0 Mar12 ?        00:00:00 [rpciod]
root      1091     2  0 Mar12 ?        00:00:00 [xprtiod]
dbus      1113     1  0 Mar12 ?        00:27:08 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
rpc       1114     1  0 Mar12 ?        00:00:34 /sbin/rpcbind -w
root      1116     1  0 Mar12 ?        00:10:24 /usr/lib/systemd/systemd-logind
root      1118     2  0 Mar12 ?        00:00:03 [kworker/4:1H]
rtkit     1119     1  0 Mar12 ?        00:03:47 /usr/libexec/rtkit-daemon
root      1120     1  0 Mar12 ?        00:03:44 /usr/libexec/udisks2/udisksd
root      1121     1  0 Mar12 ?        00:01:38 /usr/libexec/accounts-daemon
avahi     1123     1  0 Mar12 ?        00:09:08 avahi-daemon: running [VE-S08-1.local]
root      1127     1  0 Mar12 ?        11:16:22 /sbin/rngd -f
root      1129     1  0 Mar12 ?        00:00:21 /usr/sbin/smartd -n -q never
root      1132     1  0 Mar12 ?        00:06:22 /usr/sbin/NetworkManager --no-daemon
root      1133     1  0 Mar12 ?        00:00:00 /usr/sbin/abrtd -d -s
avahi     1136  1123  0 Mar12 ?        00:00:00 avahi-daemon: chroot helper
polkitd   1137     1  0 Mar12 ?        00:21:46 /usr/lib/polkit-1/polkitd --no-debug
root      1144     1  0 Mar12 ?        00:00:47 /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption do_IRQ: stack overflow: ear stack overflow (cur: eneral protection fault nable to handle kernel ouble fault: RTNL: assertion failed eek! page_mapcount(page) went negative! adness at NETDEV WATCHDOG ysctl table check failed : nobody cared IRQ handler type mismatch Kernel panic - not syncing: Machine Check Exception: Machine check events logged divide error: bounds: coprocessor segment overrun: invalid TSS: segment not present: invalid opcode: alignment check: stack segment: fpu exception: simd exception: iret exception: /var/log/messages -- /usr/bin/abrt-dump-oops -xtD
root      1146     1  0 Mar12 ?        00:00:00 /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
libstor+  1149     1  0 Mar12 ?        00:01:02 /usr/bin/lsmd -d
root      1158     1  0 Mar12 ?        00:00:53 /usr/sbin/ModemManager
root      1160     1  0 Mar12 ?        00:53:15 /usr/sbin/irqbalance --foreground
root      1164     1  0 Mar12 ?        00:00:29 /usr/sbin/gssproxy -D
root      1201     1  0 Mar12 ?        00:00:00 /usr/sbin/mcelog --ignorenodev --daemon --syslog
root      1211     1  0 Mar12 ?        00:12:33 /bin/bash /usr/sbin/ksmtuned
root      1391     2  0 Mar12 ?        00:00:09 [kworker/9:1H]
root      1403     2  0 Mar12 ?        00:00:00 [kworker/19:1H]
root      1594     1  0 Mar12 ?        00:00:00 /sbin/iscsid -f -d2
root      1596     1  0 Mar12 ?        00:30:43 /usr/bin/python2 -Es /usr/sbin/tuned -l -P
root      1598     1  0 Mar12 ?        00:00:00 /usr/sbin/cupsd -f
root      1599     1  0 Mar12 ?        00:01:21 /usr/sbin/sshd -D
root      1601     1  0 Mar12 ?        00:15:46 /usr/sbin/rsyslogd -n
root      1602     1  0 Mar12 ?        00:00:00 /usr/sbin/vsftpd /etc/vsftpd/vsftpd.conf
root      1610     2  0 Mar12 ?        00:00:00 [iscsi_eh]
root      1626     1  0 Mar12 ?        00:00:00 /usr/sbin/libvirtd
root      1638     1  0 Mar12 ?        00:00:00 /usr/sbin/gdm
root      1640     1  0 Mar12 ?        00:00:01 /usr/sbin/atd -f
root      1644     1  0 Mar12 ?        00:02:34 /usr/sbin/crond -n
root      1677     1  0 Mar12 ?        00:00:01 rhnsd
root      2039     1  0 Mar12 ?        00:02:17 /usr/libexec/postfix/master -w
postfix   2042  2039  0 Mar12 ?        00:00:55 qmgr -l -t unix -u
nobody    2113     1  0 Mar12 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root      2114  2113  0 Mar12 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root      2127     2  0 Mar12 ?        00:01:14 [kworker/6:1H]
oracle    2353     1  0 Mar12 ?        03:30:18 /oracle/product/19.0.0/dbhome_1/bin/tnslsnr LISTENER -inherit
root      2437  1638  0 Mar12 tty1     00:05:04 /usr/bin/X :0 -background none -noreset -audit 4 -verbose -auth /run/gdm/auth-for-gdm-ZnOdmk/database -seat seat0 -nolisten tcp vt1
root      2492  1638  0 Mar12 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
gdm       2496  2492  0 Mar12 ?        00:01:54 /usr/libexec/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm       2501     1  0 Mar12 ?        00:00:00 dbus-launch --exit-with-session /usr/libexec/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm       2502     1  0 Mar12 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
gdm       2522     1  0 Mar12 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
gdm       2527  2522  0 Mar12 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm       2530     1  0 Mar12 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
gdm       2584  2496  0 Mar12 ?        04:49:24 /usr/bin/gnome-shell
root      2592     1  0 Mar12 ?        00:01:09 /usr/libexec/upowerd
gdm       2634     1  0 Mar12 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
gdm       2687  2584  0 Mar12 ?        00:05:21 ibus-daemon --xim --panel disable
root      2688     2  0 Mar12 ?        00:00:00 [kworker/23:1H]
gdm       2691  2687  0 Mar12 ?        00:00:00 /usr/libexec/ibus-dconf
gdm       2694     1  0 Mar12 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
gdm       2696     1  0 Mar12 ?        00:00:00 /usr/libexec/ibus-portal
gdm       2707     1  0 Mar12 ?        00:00:00 /usr/libexec/xdg-permission-store
root      2719     1  0 Mar12 ?        00:01:11 /usr/libexec/boltd
root      2721     1  0 Mar12 ?        00:01:32 /usr/sbin/wpa_supplicant -u -f /var/log/wpa_supplicant.log -c /etc/wpa_supplicant/wpa_supplicant.conf -P /var/run/wpa_supplicant.pid
root      2722     1  0 Mar12 ?        00:06:35 /usr/libexec/packagekitd
gdm       2730  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-xsettings
gdm       2733  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-a11y-settings
gdm       2734  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-clipboard
gdm       2735  2496  0 Mar12 ?        1-07:37:20 /usr/libexec/gsd-color
gdm       2738  2496  0 Mar12 ?        00:00:00 /usr/libexec/gsd-datetime
